id,entity_id,asset_id,severity,status,opened_at,closed_at,escalation_level,closure_reason
al-001111,ent-007,asset-00053,high,closed,2026-09-09T06:03:48.939754,2026-09-09T19:03:48.939754,1,Remediated
al-001112,ent-008,asset-00061,high,open,2026-09-09T05:56:48.939754,,1,
al-001113,ent-009,asset-00069,medium,closed,2026-09-09T05:49:48.939754,2026-09-09T18:49:48.939754,1,Remediated
al-001114,ent-010,asset-00077,high,closed,2026-09-09T05:42:48.939754,2026-09-09T18:42:48.939754,1,Remediated
al-001115,ent-011,asset-00085,high,closed,2026-09-09T05:35:48.939754,2026-09-09T18:35:48.939754,1,Remediated
al-001116,ent-012,asset-00094,medium,open,2026-09-09T05:28:48.939754,,1,
al-001117,ent-001,asset-00006,high,closed,2026-09-09T05:21:48.939754,2026-09-09T18:21:48.939754,1,Remediated
al-001118,ent-002,asset-00014,critical,closed,2026-09-09T05:14:48.939754,2026-09-09T18:14:48.939754,0,Remediated
al-001119,ent-003,asset-00022,medium,closed,2026-09-09T05:07:48.939754,2026-09-09T18:07:48.939754,1,Remediated
al-001120,ent-004,asset-00030,high,open,2026-09-09T05:00:48.939754,,1,
al-001121,ent-005,asset-00038,high,closed,2026-09-09T04:53:48.939754,2026-09-09T17:53:48.939754,1,Remediated
al-001122,ent-006,asset-00046,medium,closed,2026-09-09T04:46:48.939754,2026-09-09T05:31:48.939754,0,Duplicate alert
al-001123,ent-007,asset-00054,high,closed,2026-09-09T04:39:48.939754,2026-09-09T17:39:48.939754,1,Remediated
al-001124,ent-008,asset-00062,high,open,2026-09-09T04:32:48.939754,,1,
al-001125,ent-009,asset-00070,medium,closed,2026-09-09T04:25:48.939754,2026-09-09T17:25:48.939754,1,Remediated
al-001126,ent-010,asset-00078,high,closed,2026-09-09T04:18:48.939754,2026-09-09T17:18:48.939754,1,Remediated
al-001127,ent-011,asset-00086,high,closed,2026-09-09T04:11:48.939754,2026-09-09T17:11:48.939754,1,Remediated
al-001128,ent-012,asset-00095,medium,open,2026-09-09T04:04:48.939754,,1,
al-001129,ent-001,asset-00007,high,closed,2026-09-09T03:57:48.939754,2026-09-09T16:57:48.939754,1,Remediated
al-001130,ent-002,asset-00015,high,closed,2026-09-09T03:50:48.939754,2026-09-09T16:50:48.939754,1,Remediated
al-001131,ent-003,asset-00023,critical,closed,2026-09-09T03:43:48.939754,2026-09-09T16:43:48.939754,0,Remediated
al-001132,ent-004,asset-00031,high,open,2026-09-09T03:36:48.939754,,1,
al-001133,ent-005,asset-00039,high,closed,2026-09-09T03:29:48.939754,2026-09-09T16:29:48.939754,1,Remediated
al-001134,ent-006,asset-00047,medium,closed,2026-09-09T03:22:48.939754,2026-09-09T16:22:48.939754,1,Remediated
al-001135,ent-007,asset-00055,high,closed,2026-09-09T03:15:48.939754,2026-09-09T16:15:48.939754,1,Remediated
al-001136,ent-008,asset-00063,high,open,2026-09-09T03:08:48.939754,,1,
al-001137,ent-009,asset-00071,medium,closed,2026-09-09T03:01:48.939754,2026-09-09T16:01:48.939754,1,Remediated
al-001138,ent-010,asset-00079,high,closed,2026-09-09T02:54:48.939754,2026-09-09T15:54:48.939754,1,Remediated
al-001139,ent-011,asset-00087,high,closed,2026-09-09T02:47:48.939754,2026-09-09T03:32:48.939754,0,Duplicate alert
al-001140,ent-012,asset-00096,medium,open,2026-09-09T02:40:48.939754,,1,
al-001141,ent-001,asset-00008,high,closed,2026-09-09T02:33:48.939754,2026-09-09T15:33:48.939754,1,Remediated
al-001142,ent-002,asset-00016,high,closed,2026-09-09T02:26:48.939754,2026-09-09T15:26:48.939754,1,Remediated
al-001143,ent-003,asset-00024,medium,closed,2026-09-09T02:19:48.939754,2026-09-09T15:19:48.939754,1,Remediated
al-001144,ent-004,asset-00032,critical,open,2026-09-09T02:12:48.939754,,0,
al-001145,ent-005,asset-00040,high,closed,2026-09-09T02:05:48.939754,2026-09-09T15:05:48.939754,1,Remediated
al-001146,ent-006,asset-00048,medium,closed,2026-09-09T01:58:48.939754,2026-09-09T14:58:48.939754,1,Remediated
al-001147,ent-007,asset-00056,high,closed,2026-09-09T01:51:48.939754,2026-09-09T14:51:48.939754,1,Remediated
al-001148,ent-008,asset-00064,high,open,2026-09-09T01:44:48.939754,,1,
al-001149,ent-009,asset-00072,medium,closed,2026-09-09T01:37:48.939754,2026-09-09T14:37:48.939754,1,Remediated
al-001150,ent-010,asset-00080,high,closed,2026-09-09T01:30:48.939754,2026-09-09T02:15:48.939754,0,Duplicate alert
al-001151,ent-011,asset-00088,high,closed,2026-09-09T01:23:48.939754,2026-09-09T14:23:48.939754,1,Remediated
al-001152,ent-012,asset-00089,medium,open,2026-09-09T01:16:48.939754,,1,
al-001153,ent-001,asset-00001,high,closed,2026-09-09T01:09:48.939754,2026-09-09T14:09:48.939754,1,Remediated
al-001154,ent-002,asset-00009,high,closed,2026-09-09T01:02:48.939754,2026-09-09T14:02:48.939754,1,Remediated
al-001155,ent-003,asset-00017,medium,closed,2026-09-09T00:55:48.939754,2026-09-09T01:40:48.939754,0,Duplicate alert
al-001156,ent-004,asset-00025,high,open,2026-09-09T00:48:48.939754,,0,Duplicate alert
al-001157,ent-005,asset-00033,critical,closed,2026-09-09T00:41:48.939754,2026-09-09T13:41:48.939754,0,Remediated
al-001158,ent-006,asset-00041,medium,closed,2026-09-09T00:34:48.939754,2026-09-09T13:34:48.939754,1,Remediated
al-001159,ent-007,asset-00049,high,closed,2026-09-09T00:27:48.939754,2026-09-09T13:27:48.939754,1,Remediated
al-001160,ent-008,asset-00057,high,open,2026-09-09T00:20:48.939754,,1,
al-001161,ent-009,asset-00065,medium,closed,2026-09-09T00:13:48.939754,2026-09-09T13:13:48.939754,1,Remediated
al-001162,ent-010,asset-00073,high,closed,2026-09-09T00:06:48.939754,2026-09-09T13:06:48.939754,1,Remediated
al-001163,ent-011,asset-00081,high,closed,2026-09-08T23:59:48.939754,2026-09-09T12:59:48.939754,1,Remediated
al-001164,ent-012,asset-00090,medium,open,2026-09-08T23:52:48.939754,,1,
al-001165,ent-001,asset-00002,high,closed,2026-09-08T23:45:48.939754,2026-09-09T12:45:48.939754,1,Remediated
al-001166,ent-002,asset-00010,high,closed,2026-09-08T23:38:48.939754,2026-09-09T12:38:48.939754,1,Remediated
al-001167,ent-003,asset-00018,medium,closed,2026-09-08T23:31:48.939754,2026-09-09T12:31:48.939754,1,Remediated
al-001168,ent-004,asset-00026,high,open,2026-09-08T23:24:48.939754,,1,
al-001169,ent-005,asset-00034,high,closed,2026-09-08T23:17:48.939754,2026-09-09T12:17:48.939754,1,Remediated
al-001170,ent-006,asset-00042,critical,closed,2026-09-08T23:10:48.939754,2026-09-09T12:10:48.939754,0,Remediated
al-001171,ent-007,asset-00050,high,closed,2026-09-08T23:03:48.939754,2026-09-09T12:03:48.939754,1,Remediated
al-001172,ent-008,asset-00058,high,open,2026-09-08T22:56:48.939754,,1,
al-001173,ent-009,asset-00066,medium,closed,2026-09-08T22:49:48.939754,2026-09-08T23:34:48.939754,0,Duplicate alert
al-001174,ent-010,asset-00074,high,closed,2026-09-08T22:42:48.939754,2026-09-09T11:42:48.939754,1,Remediated
al-001175,ent-011,asset-00082,high,closed,2026-09-08T22:35:48.939754,2026-09-09T11:35:48.939754,1,Remediated
al-001176,ent-012,asset-00091,medium,open,2026-09-08T22:28:48.939754,,1,
al-001177,ent-001,asset-00003,high,closed,2026-09-08T22:21:48.939754,2026-09-09T11:21:48.939754,1,Remediated
al-001178,ent-002,asset-00011,high,closed,2026-09-08T22:14:48.939754,2026-09-09T11:14:48.939754,1,Remediated
al-001179,ent-003,asset-00019,medium,closed,2026-09-08T22:07:48.939754,2026-09-09T11:07:48.939754,1,Remediated
al-001180,ent-004,asset-00027,high,open,2026-09-08T22:00:48.939754,,1,
al-001181,ent-005,asset-00035,high,closed,2026-09-08T21:53:48.939754,2026-09-09T10:53:48.939754,1,Remediated
al-001182,ent-006,asset-00043,medium,closed,2026-09-08T21:46:48.939754,2026-09-09T10:46:48.939754,1,Remediated
al-001183,ent-007,asset-00051,critical,closed,2026-09-08T21:39:48.939754,2026-09-09T10:39:48.939754,0,Remediated
al-001184,ent-008,asset-00059,high,open,2026-09-08T21:32:48.939754,,1,
al-001185,ent-009,asset-00067,medium,closed,2026-09-08T21:25:48.939754,2026-09-09T10:25:48.939754,1,Remediated
al-001186,ent-010,asset-00075,high,closed,2026-09-08T21:18:48.939754,2026-09-09T10:18:48.939754,1,Remediated
al-001187,ent-011,asset-00083,high,closed,2026-09-08T21:11:48.939754,2026-09-09T10:11:48.939754,1,Remediated
al-001188,ent-012,asset-00092,medium,open,2026-09-08T21:04:48.939754,,1,
al-001189,ent-001,asset-00004,high,closed,2026-09-08T20:57:48.939754,2026-09-09T09:57:48.939754,1,Remediated
al-001190,ent-002,asset-00012,high,closed,2026-09-08T20:50:48.939754,2026-09-08T21:35:48.939754,0,Duplicate alert
al-001191,ent-003,asset-00020,medium,closed,2026-09-08T20:43:48.939754,2026-09-09T09:43:48.939754,1,Remediated
al-001192,ent-004,asset-00028,high,open,2026-09-08T20:36:48.939754,,1,
al-001193,ent-005,asset-00036,high,closed,2026-09-08T20:29:48.939754,2026-09-09T09:29:48.939754,1,Remediated
al-001194,ent-006,asset-00044,medium,closed,2026-09-08T20:22:48.939754,2026-09-09T09:22:48.939754,1,Remediated
al-001195,ent-007,asset-00052,high,closed,2026-09-08T20:15:48.939754,2026-09-09T09:15:48.939754,1,Remediated
al-001196,ent-008,asset-00060,critical,open,2026-09-08T20:08:48.939754,,0,
al-001197,ent-009,asset-00068,medium,closed,2026-09-08T20:01:48.939754,2026-09-09T09:01:48.939754,1,Remediated
al-001198,ent-010,asset-00076,high,closed,2026-09-08T19:54:48.939754,2026-09-09T08:54:48.939754,1,Remediated
al-001199,ent-011,asset-00084,high,closed,2026-09-08T19:47:48.939754,2026-09-09T08:47:48.939754,1,Remediated
al-001200,ent-012,asset-00093,medium,open,2026-09-08T19:40:48.939754,,1,
al-001201,ent-001,asset-00005,high,closed,2026-09-08T19:33:48.939754,2026-09-09T08:33:48.939754,1,Remediated
al-001202,ent-002,asset-00013,high,closed,2026-09-08T19:26:48.939754,2026-09-09T08:26:48.939754,1,Remediated
al-001203,ent-003,asset-00021,medium,closed,2026-09-08T19:19:48.939754,2026-09-09T08:19:48.939754,1,Remediated
al-001204,ent-004,asset-00029,high,open,2026-09-08T19:12:48.939754,,1,
al-001205,ent-005,asset-00037,high,closed,2026-09-08T19:05:48.939754,2026-09-09T08:05:48.939754,1,Remediated
al-001206,ent-006,asset-00045,medium,closed,2026-09-08T18:58:48.939754,2026-09-09T07:58:48.939754,1,Remediated
al-001207,ent-007,asset-00053,high,closed,2026-09-08T18:51:48.939754,2026-09-08T19:36:48.939754,0,Duplicate alert
al-001208,ent-008,asset-00061,high,open,2026-09-08T18:44:48.939754,,1,
al-001209,ent-009,asset-00069,critical,closed,2026-09-08T18:37:48.939754,2026-09-09T07:37:48.939754,0,Remediated
al-001210,ent-010,asset-00077,high,closed,2026-09-08T18:30:48.939754,2026-09-08T19:15:48.939754,0,Duplicate alert
al-001211,ent-011,asset-00085,high,closed,2026-09-08T18:23:48.939754,2026-09-09T07:23:48.939754,1,Remediated
al-001212,ent-012,asset-00094,medium,open,2026-09-08T18:16:48.939754,,1,
al-001213,ent-001,asset-00006,high,closed,2026-09-08T18:09:48.939754,2026-09-09T07:09:48.939754,1,Remediated
al-001214,ent-002,asset-00014,high,closed,2026-09-08T18:02:48.939754,2026-09-09T07:02:48.939754,1,Remediated
al-001215,ent-003,asset-00022,medium,closed,2026-09-08T17:55:48.939754,2026-09-08T18:40:48.939754,0,Duplicate alert
al-001216,ent-004,asset-00030,high,open,2026-09-08T17:48:48.939754,,1,
al-001217,ent-005,asset-00038,high,closed,2026-09-08T17:41:48.939754,2026-09-09T06:41:48.939754,1,Remediated
al-001218,ent-006,asset-00046,medium,closed,2026-09-08T17:34:48.939754,2026-09-09T06:34:48.939754,1,Remediated
al-001219,ent-007,asset-00054,high,closed,2026-09-08T17:27:48.939754,2026-09-09T06:27:48.939754,1,Remediated
al-001220,ent-008,asset-00062,high,open,2026-09-08T17:20:48.939754,,1,
al-001221,ent-009,asset-00070,medium,closed,2026-09-08T17:13:48.939754,2026-09-09T06:13:48.939754,1,Remediated
al-001222,ent-010,asset-00078,critical,closed,2026-09-08T17:06:48.939754,2026-09-09T06:06:48.939754,0,Remediated
al-001223,ent-011,asset-00086,high,closed,2026-09-08T16:59:48.939754,2026-09-09T05:59:48.939754,1,Remediated
al-001224,ent-012,asset-00095,medium,open,2026-09-08T16:52:48.939754,,0,Duplicate alert
al-001225,ent-001,asset-00007,high,closed,2026-09-08T16:45:48.939754,2026-09-09T05:45:48.939754,1,Remediated
al-001226,ent-002,asset-00015,high,closed,2026-09-08T16:38:48.939754,2026-09-09T05:38:48.939754,1,Remediated
al-001227,ent-003,asset-00023,medium,closed,2026-09-08T16:31:48.939754,2026-09-09T05:31:48.939754,1,Remediated
al-001228,ent-004,asset-00031,high,open,2026-09-08T16:24:48.939754,,1,
al-001229,ent-005,asset-00039,high,closed,2026-09-08T16:17:48.939754,2026-09-09T05:17:48.939754,1,Remediated
al-001230,ent-006,asset-00047,medium,closed,2026-09-08T16:10:48.939754,2026-09-09T05:10:48.939754,1,Remediated
al-001231,ent-007,asset-00055,high,closed,2026-09-08T16:03:48.939754,2026-09-09T05:03:48.939754,1,Remediated
al-001232,ent-008,asset-00063,high,open,2026-09-08T15:56:48.939754,,1,
al-001233,ent-009,asset-00071,medium,closed,2026-09-08T15:49:48.939754,2026-09-09T04:49:48.939754,1,Remediated
al-001234,ent-010,asset-00079,high,closed,2026-09-08T15:42:48.939754,2026-09-09T04:42:48.939754,1,Remediated
al-001235,ent-011,asset-00087,critical,closed,2026-09-08T15:35:48.939754,2026-09-09T04:35:48.939754,0,Remediated
al-001236,ent-012,asset-00096,medium,open,2026-09-08T15:28:48.939754,,1,
al-001237,ent-001,asset-00008,high,closed,2026-09-08T15:21:48.939754,2026-09-09T04:21:48.939754,1,Remediated
al-001238,ent-002,asset-00016,high,closed,2026-09-08T15:14:48.939754,2026-09-09T04:14:48.939754,1,Remediated
al-001239,ent-003,asset-00024,medium,closed,2026-09-08T15:07:48.939754,2026-09-09T04:07:48.939754,1,Remediated
al-001240,ent-004,asset-00032,high,open,2026-09-08T15:00:48.939754,,1,
al-001241,ent-005,asset-00040,high,closed,2026-09-08T14:53:48.939754,2026-09-08T15:38:48.939754,0,Duplicate alert
al-001242,ent-006,asset-00048,medium,closed,2026-09-08T14:46:48.939754,2026-09-09T03:46:48.939754,1,Remediated
al-001243,ent-007,asset-00056,high,closed,2026-09-08T14:39:48.939754,2026-09-09T03:39:48.939754,1,Remediated
al-001244,ent-008,asset-00064,high,open,2026-09-08T14:32:48.939754,,1,
al-001245,ent-009,asset-00072,medium,closed,2026-09-08T14:25:48.939754,2026-09-09T03:25:48.939754,1,Remediated
al-001246,ent-010,asset-00080,high,closed,2026-09-08T14:18:48.939754,2026-09-09T03:18:48.939754,1,Remediated
al-001247,ent-011,asset-00088,high,closed,2026-09-08T14:11:48.939754,2026-09-09T03:11:48.939754,1,Remediated
al-001248,ent-012,asset-00089,critical,open,2026-09-08T14:04:48.939754,,0,
al-001249,ent-001,asset-00001,high,closed,2026-09-08T13:57:48.939754,2026-09-09T02:57:48.939754,1,Remediated
al-001250,ent-002,asset-00009,high,closed,2026-09-08T13:50:48.939754,2026-09-09T02:50:48.939754,1,Remediated
al-001251,ent-003,asset-00017,medium,closed,2026-09-08T13:43:48.939754,2026-09-09T02:43:48.939754,1,Remediated
al-001252,ent-004,asset-00025,high,open,2026-09-08T13:36:48.939754,,1,
al-001253,ent-005,asset-00033,high,closed,2026-09-08T13:29:48.939754,2026-09-09T02:29:48.939754,1,Remediated
al-001254,ent-006,asset-00041,medium,closed,2026-09-08T13:22:48.939754,2026-09-09T02:22:48.939754,1,Remediated
al-001255,ent-007,asset-00049,high,closed,2026-09-08T13:15:48.939754,2026-09-09T02:15:48.939754,1,Remediated
al-001256,ent-008,asset-00057,high,open,2026-09-08T13:08:48.939754,,1,
al-001257,ent-009,asset-00065,medium,closed,2026-09-08T13:01:48.939754,2026-09-09T02:01:48.939754,1,Remediated
al-001258,ent-010,asset-00073,high,closed,2026-09-08T12:54:48.939754,2026-09-08T13:39:48.939754,0,Duplicate alert
al-001259,ent-011,asset-00081,high,closed,2026-09-08T12:47:48.939754,2026-09-09T01:47:48.939754,1,Remediated
al-001260,ent-012,asset-00090,medium,open,2026-09-08T12:40:48.939754,,1,
al-001261,ent-001,asset-00002,critical,closed,2026-09-08T12:33:48.939754,2026-09-09T01:33:48.939754,0,Remediated
al-001262,ent-002,asset-00010,high,closed,2026-09-08T12:26:48.939754,2026-09-09T01:26:48.939754,1,Remediated
al-001263,ent-003,asset-00018,medium,closed,2026-09-08T12:19:48.939754,2026-09-09T01:19:48.939754,1,Remediated
al-001264,ent-004,asset-00026,high,open,2026-09-08T12:12:48.939754,,1,
al-001265,ent-005,asset-00034,high,closed,2026-09-08T12:05:48.939754,2026-09-09T01:05:48.939754,1,Remediated
al-001266,ent-006,asset-00042,medium,closed,2026-09-08T11:58:48.939754,2026-09-09T00:58:48.939754,1,Remediated
al-001267,ent-007,asset-00050,high,closed,2026-09-08T11:51:48.939754,2026-09-09T00:51:48.939754,1,Remediated
al-001268,ent-008,asset-00058,high,open,2026-09-08T11:44:48.939754,,1,
al-001269,ent-009,asset-00066,medium,closed,2026-09-08T11:37:48.939754,2026-09-09T00:37:48.939754,1,Remediated
al-001270,ent-010,asset-00074,high,closed,2026-09-08T11:30:48.939754,2026-09-08T12:15:48.939754,0,Duplicate alert
al-001271,ent-011,asset-00082,high,closed,2026-09-08T11:23:48.939754,2026-09-09T00:23:48.939754,1,Remediated
al-001272,ent-012,asset-00091,medium,open,2026-09-08T11:16:48.939754,,1,
al-001273,ent-001,asset-00003,high,closed,2026-09-08T11:09:48.939754,2026-09-09T00:09:48.939754,1,Remediated
al-001274,ent-002,asset-00011,critical,closed,2026-09-08T11:02:48.939754,2026-09-09T00:02:48.939754,0,Remediated
al-001275,ent-003,asset-00019,medium,closed,2026-09-08T10:55:48.939754,2026-09-08T11:40:48.939754,0,Duplicate alert
al-001276,ent-004,asset-00027,high,open,2026-09-08T10:48:48.939754,,1,
al-001277,ent-005,asset-00035,high,closed,2026-09-08T10:41:48.939754,2026-09-08T23:41:48.939754,1,Remediated
al-001278,ent-006,asset-00043,medium,closed,2026-09-08T10:34:48.939754,2026-09-08T23:34:48.939754,1,Remediated
al-001279,ent-007,asset-00051,high,closed,2026-09-08T10:27:48.939754,2026-09-08T23:27:48.939754,1,Remediated
al-001280,ent-008,asset-00059,high,open,2026-09-08T10:20:48.939754,,1,
al-001281,ent-009,asset-00067,medium,closed,2026-09-08T10:13:48.939754,2026-09-08T23:13:48.939754,1,Remediated
al-001282,ent-010,asset-00075,high,closed,2026-09-08T10:06:48.939754,2026-09-08T23:06:48.939754,1,Remediated
al-001283,ent-011,asset-00083,high,closed,2026-09-08T09:59:48.939754,2026-09-08T22:59:48.939754,1,Remediated
al-001284,ent-012,asset-00092,medium,open,2026-09-08T09:52:48.939754,,1,
al-001285,ent-001,asset-00004,high,closed,2026-09-08T09:45:48.939754,2026-09-08T22:45:48.939754,1,Remediated
al-001286,ent-002,asset-00012,high,closed,2026-09-08T09:38:48.939754,2026-09-08T22:38:48.939754,1,Remediated
al-001287,ent-003,asset-00020,critical,closed,2026-09-08T09:31:48.939754,2026-09-08T22:31:48.939754,0,Remediated
al-001288,ent-004,asset-00028,high,open,2026-09-08T09:24:48.939754,,1,
al-001289,ent-005,asset-00036,high,closed,2026-09-08T09:17:48.939754,2026-09-08T22:17:48.939754,1,Remediated
al-001290,ent-006,asset-00044,medium,closed,2026-09-08T09:10:48.939754,2026-09-08T22:10:48.939754,1,Remediated
al-001291,ent-007,asset-00052,high,closed,2026-09-08T09:03:48.939754,2026-09-08T22:03:48.939754,1,Remediated
al-001292,ent-008,asset-00060,high,open,2026-09-08T08:56:48.939754,,0,Duplicate alert
al-001293,ent-009,asset-00068,medium,closed,2026-09-08T08:49:48.939754,2026-09-08T21:49:48.939754,1,Remediated
al-001294,ent-010,asset-00076,high,closed,2026-09-08T08:42:48.939754,2026-09-08T21:42:48.939754,1,Remediated
al-001295,ent-011,asset-00084,high,closed,2026-09-08T08:35:48.939754,2026-09-08T21:35:48.939754,1,Remediated
al-001296,ent-012,asset-00093,medium,open,2026-09-08T08:28:48.939754,,1,
al-001297,ent-001,asset-00005,high,closed,2026-09-08T08:21:48.939754,2026-09-08T21:21:48.939754,1,Remediated
al-001298,ent-002,asset-00013,high,closed,2026-09-08T08:14:48.939754,2026-09-08T21:14:48.939754,1,Remediated
al-001299,ent-003,asset-00021,medium,closed,2026-09-08T08:07:48.939754,2026-09-08T21:07:48.939754,1,Remediated
al-001300,ent-004,asset-00029,critical,open,2026-09-08T08:00:48.939754,,0,
al-001301,ent-005,asset-00037,high,closed,2026-09-08T07:53:48.939754,2026-09-08T20:53:48.939754,1,Remediated
al-001302,ent-006,asset-00045,medium,closed,2026-09-08T07:46:48.939754,2026-09-08T20:46:48.939754,1,Remediated
al-001303,ent-007,asset-00053,high,closed,2026-09-08T07:39:48.939754,2026-09-08T20:39:48.939754,1,Remediated
al-001304,ent-008,asset-00061,high,open,2026-09-08T07:32:48.939754,,1,
al-001305,ent-009,asset-00069,medium,closed,2026-09-08T07:25:48.939754,2026-09-08T20:25:48.939754,1,Remediated
al-001306,ent-010,asset-00077,high,closed,2026-09-08T07:18:48.939754,2026-09-08T20:18:48.939754,1,Remediated
al-001307,ent-011,asset-00085,high,closed,2026-09-08T07:11:48.939754,2026-09-08T20:11:48.939754,1,Remediated
al-001308,ent-012,asset-00094,medium,open,2026-09-08T07:04:48.939754,,1,
al-001309,ent-001,asset-00006,high,closed,2026-09-08T06:57:48.939754,2026-09-08T07:42:48.939754,0,Duplicate alert
al-001310,ent-002,asset-00014,high,closed,2026-09-08T06:50:48.939754,2026-09-08T19:50:48.939754,1,Remediated
al-001311,ent-003,asset-00022,medium,closed,2026-09-08T06:43:48.939754,2026-09-08T19:43:48.939754,1,Remediated
al-001312,ent-004,asset-00030,high,open,2026-09-08T06:36:48.939754,,1,
al-001313,ent-005,asset-00038,critical,closed,2026-09-08T06:29:48.939754,2026-09-08T19:29:48.939754,0,Remediated
al-001314,ent-006,asset-00046,medium,closed,2026-09-08T06:22:48.939754,2026-09-08T19:22:48.939754,1,Remediated
al-001315,ent-007,asset-00054,high,closed,2026-09-08T06:15:48.939754,2026-09-08T19:15:48.939754,1,Remediated
al-001316,ent-008,asset-00062,high,open,2026-09-08T06:08:48.939754,,1,
al-001317,ent-009,asset-00070,medium,closed,2026-09-08T06:01:48.939754,2026-09-08T19:01:48.939754,1,Remediated
al-001318,ent-010,asset-00078,high,closed,2026-09-08T05:54:48.939754,2026-09-08T18:54:48.939754,1,Remediated
al-001319,ent-011,asset-00086,high,closed,2026-09-08T05:47:48.939754,2026-09-08T18:47:48.939754,1,Remediated
al-001320,ent-012,asset-00095,medium,open,2026-09-08T05:40:48.939754,,1,
al-001321,ent-001,asset-00007,high,closed,2026-09-08T05:33:48.939754,2026-09-08T18:33:48.939754,1,Remediated
al-001322,ent-002,asset-00015,high,closed,2026-09-08T05:26:48.939754,2026-09-08T18:26:48.939754,1,Remediated
al-001323,ent-003,asset-00023,medium,closed,2026-09-08T05:19:48.939754,2026-09-08T18:19:48.939754,1,Remediated
al-001324,ent-004,asset-00031,high,open,2026-09-08T05:12:48.939754,,1,
al-001325,ent-005,asset-00039,high,closed,2026-09-08T05:05:48.939754,2026-09-08T18:05:48.939754,1,Remediated
al-001326,ent-006,asset-00047,critical,closed,2026-09-08T04:58:48.939754,2026-09-08T05:43:48.939754,0,Duplicate alert
al-001327,ent-007,asset-00055,high,closed,2026-09-08T04:51:48.939754,2026-09-08T17:51:48.939754,1,Remediated
al-001328,ent-008,asset-00063,high,open,2026-09-08T04:44:48.939754,,1,
al-001329,ent-009,asset-00071,medium,closed,2026-09-08T04:37:48.939754,2026-09-08T17:37:48.939754,1,Remediated
al-001330,ent-010,asset-00079,high,closed,2026-09-08T04:30:48.939754,2026-09-08T05:15:48.939754,0,Duplicate alert
al-001331,ent-011,asset-00087,high,closed,2026-09-08T04:23:48.939754,2026-09-08T17:23:48.939754,1,Remediated
al-001332,ent-012,asset-00096,medium,open,2026-09-08T04:16:48.939754,,1,
al-001333,ent-001,asset-00008,high,closed,2026-09-08T04:09:48.939754,2026-09-08T17:09:48.939754,1,Remediated
al-001334,ent-002,asset-00016,high,closed,2026-09-08T04:02:48.939754,2026-09-08T17:02:48.939754,1,Remediated
al-001335,ent-003,asset-00024,medium,closed,2026-09-08T03:55:48.939754,2026-09-08T04:40:48.939754,0,Duplicate alert
al-001336,ent-004,asset-00032,high,open,2026-09-08T03:48:48.939754,,1,
al-001337,ent-005,asset-00040,high,closed,2026-09-08T03:41:48.939754,2026-09-08T16:41:48.939754,1,Remediated
al-001338,ent-006,asset-00048,medium,closed,2026-09-08T03:34:48.939754,2026-09-08T16:34:48.939754,1,Remediated
al-001339,ent-007,asset-00056,critical,closed,2026-09-08T03:27:48.939754,2026-09-08T16:27:48.939754,0,Remediated
al-001340,ent-008,asset-00064,high,open,2026-09-08T03:20:48.939754,,1,
al-001341,ent-009,asset-00072,medium,closed,2026-09-08T03:13:48.939754,2026-09-08T16:13:48.939754,1,Remediated
al-001342,ent-010,asset-00080,high,closed,2026-09-08T03:06:48.939754,2026-09-08T16:06:48.939754,1,Remediated
al-001343,ent-011,asset-00088,high,closed,2026-09-08T02:59:48.939754,2026-09-08T03:44:48.939754,0,Duplicate alert
al-001344,ent-012,asset-00089,medium,open,2026-09-08T02:52:48.939754,,1,
al-001345,ent-001,asset-00001,high,closed,2026-09-08T02:45:48.939754,2026-09-08T15:45:48.939754,1,Remediated
al-001346,ent-002,asset-00009,high,closed,2026-09-08T02:38:48.939754,2026-09-08T15:38:48.939754,1,Remediated
al-001347,ent-003,asset-00017,medium,closed,2026-09-08T02:31:48.939754,2026-09-08T15:31:48.939754,1,Remediated
al-001348,ent-004,asset-00025,high,open,2026-09-08T02:24:48.939754,,1,
al-001349,ent-005,asset-00033,high,closed,2026-09-08T02:17:48.939754,2026-09-08T15:17:48.939754,1,Remediated
al-001350,ent-006,asset-00041,medium,closed,2026-09-08T02:10:48.939754,2026-09-08T15:10:48.939754,1,Remediated
al-001351,ent-007,asset-00049,high,closed,2026-09-08T02:03:48.939754,2026-09-08T15:03:48.939754,1,Remediated
al-001352,ent-008,asset-00057,critical,open,2026-09-08T01:56:48.939754,,0,
al-001353,ent-009,asset-00065,medium,closed,2026-09-08T01:49:48.939754,2026-09-08T14:49:48.939754,1,Remediated
al-001354,ent-010,asset-00073,high,closed,2026-09-08T01:42:48.939754,2026-09-08T14:42:48.939754,1,Remediated
al-001355,ent-011,asset-00081,high,closed,2026-09-08T01:35:48.939754,2026-09-08T14:35:48.939754,1,Remediated
al-001356,ent-012,asset-00090,medium,open,2026-09-08T01:28:48.939754,,1,
al-001357,ent-001,asset-00002,high,closed,2026-09-08T01:21:48.939754,2026-09-08T14:21:48.939754,1,Remediated
al-001358,ent-002,asset-00010,high,closed,2026-09-08T01:14:48.939754,2026-09-08T14:14:48.939754,1,Remediated
al-001359,ent-003,asset-00018,medium,closed,2026-09-08T01:07:48.939754,2026-09-08T14:07:48.939754,1,Remediated
al-001360,ent-004,asset-00026,high,open,2026-09-08T01:00:48.939754,,0,Duplicate alert
